EmployeeID,Onboarding,Turnover
E1,No,Quit
E2,No,Quit
E3,No,Quit
E8,No,Quit
E14,No,Quit
E22,No,Quit
E24,No,Quit
E25,No,Quit
E31,No,Quit
E35,No,Quit
E52,No,Quit
E53,No,Quit
E54,No,Quit
E71,No,Quit
E74,No,Quit
E75,No,Quit
E13,Yes,Quit
E30,Yes,Quit
E34,Yes,Quit
E40,Yes,Quit
E48,Yes,Quit
E59,Yes,Quit
E4,Yes,Stayed
E5,Yes,Stayed
E6,Yes,Stayed
E7,Yes,Stayed
E9,Yes,Stayed
E10,Yes,Stayed
E11,Yes,Stayed
E12,Yes,Stayed
E15,Yes,Stayed
E16,Yes,Stayed
E17,Yes,Stayed
E18,Yes,Stayed
E19,Yes,Stayed
E20,Yes,Stayed
E21,Yes,Stayed
E23,Yes,Stayed
E26,Yes,Stayed
E27,Yes,Stayed
E28,No,Stayed
E29,Yes,Stayed
E32,Yes,Stayed
E33,No,Stayed
E36,No,Stayed
E37,Yes,Stayed
E38,Yes,Stayed
E39,Yes,Stayed
E41,Yes,Stayed
E42,Yes,Stayed
E43,Yes,Stayed
E44,Yes,Stayed
E45,Yes,Stayed
E46,Yes,Stayed
E47,Yes,Stayed
E49,Yes,Stayed
E50,Yes,Stayed
E51,Yes,Stayed
E55,Yes,Stayed
E56,Yes,Stayed
E57,Yes,Stayed
E58,Yes,Stayed
E60,Yes,Stayed
E61,No,Stayed
E62,Yes,Stayed
E63,Yes,Stayed
E64,Yes,Stayed
E65,No,Stayed
E66,Yes,Stayed
E67,No,Stayed
E68,Yes,Stayed
E69,Yes,Stayed
E70,Yes,Stayed
E72,Yes,Stayed
E73,No,Stayed
