emp_id,perf_eval,interview,gender,age,race
EE200,6.2,8.5,woman,30,black
EE202,6.6,5.7,woman,45.6,black
EE203,5,7,man,39.2,asian
EE206,4,6.8,woman,36.9,black
EE209,5.3,9.6,woman,24.5,white
EE214,5.9,6,woman,41.5,asian
EE215,5.5,7.5,man,35.1,black
EE220,3.8,5.9,man,43.2,asian
EE221,5.7,9.6,man,25.7,asian
EE223,3.8,8.3,woman,27.8,white
EE224,6.6,6.6,woman,39.3,asian
EE225,4.9,9,man,28.8,asian
EE226,4.4,5.1,woman,51.1,asian
EE227,4.4,6.5,woman,38.2,white
EE229,3.8,7,woman,35.2,asian
EE231,4.3,6.7,woman,40.1,asian
EE233,5.4,5.7,woman,45.2,black
EE234,4.6,8.8,man,28.6,white
EE237,6.2,6.5,woman,42.6,black
EE238,5.9,7.7,woman,34.1,black
EE240,5.7,8.2,man,32.1,asian
EE244,3.4,5.9,man,42.1,asian
EE245,5.7,4.3,woman,60.7,white
EE248,5.1,6.7,man,37.7,black
EE250,5.3,7.5,woman,34.4,black
EE259,4.2,6.1,man,40.6,black
EE261,7,5.4,woman,47.7,black
EE262,4.8,5.4,woman,45.3,black
EE263,5.6,8.2,woman,31.8,black
EE264,4.7,6.9,man,35.2,white
EE265,3.7,6.7,woman,37.1,white
EE267,4.7,7.5,woman,33.7,asian
EE269,3.2,6.7,man,32.7,asian
EE271,4.3,7.3,man,36.3,white
EE273,5.9,6,man,42.9,white
EE274,5.6,6.9,woman,37.4,black
EE277,4.8,8.9,man,29.3,black
EE280,4.6,6,woman,41.2,white
EE284,4.2,5.7,woman,43.2,white
EE293,6.4,4.5,woman,57.7,black
EE297,4,6.4,woman,42.4,black
EE301,6.5,8.7,woman,29.8,black
EE304,4.1,6.5,man,39.2,white
EE305,2.6,6,man,39.1,asian
EE307,5,7.2,woman,34.2,black
EE308,4.5,5,man,53.8,asian
EE310,4.7,6.1,woman,41.5,asian
EE312,4.7,4.1,woman,62.3,black
EE315,4.3,5.8,man,46.7,black
EE316,5.4,6.5,man,40.8,white
EE317,6.3,5.5,woman,50.8,black
EE324,3.7,5,man,50.6,white
EE326,5.1,7.9,man,31.6,asian
EE328,5.9,8.3,man,32.6,white
EE330,5.4,6.9,woman,41.2,black
EE331,4.1,6.7,man,38.4,black
EE334,3.5,9.1,woman,27.4,asian
EE336,5.3,4.9,man,55.2,asian
EE340,3.8,6.7,man,38.5,black
EE345,4.7,8.1,man,32.1,white
EE347,4,5.8,man,39.5,black
EE348,4.6,9.6,man,23.6,asian
EE351,7,6.8,man,38.8,black
EE352,4.7,6.2,man,41.4,black
EE357,3.7,8.1,man,28.1,black
EE358,3.5,5.5,man,43.2,white
EE359,5.6,6.9,woman,38.6,asian
EE364,5.5,7.3,man,35.3,black
EE365,3.8,6.5,man,37.5,asian
EE372,3.6,5.7,man,45.1,asian
EE373,4.2,6,man,43.8,white
EE377,5.3,5.2,woman,45.7,white
EE379,5.4,7.4,man,35.8,asian
EE380,3.4,6.5,man,37.6,white
EE385,4.9,6.4,man,39.6,white
EE386,5.2,8.3,man,30,asian
EE399,4.7,9.6,man,26,white
EE403,3.9,6.2,woman,40.2,black
EE404,3.5,9.2,man,29.7,white
EE406,4.8,8.5,man,30.6,asian
EE407,6.9,8.5,man,33,black
EE408,4.7,7.1,woman,34.7,asian
EE410,3.2,6.9,man,37.5,asian
EE411,4.7,4.2,woman,65.3,white
EE413,5.9,4,woman,67.7,black
EE414,3.6,5.9,woman,44.6,white
EE415,4.8,6.5,woman,40.4,black
EE418,4.3,6.5,man,41.3,black
EE420,3.1,7.2,woman,32.8,black
EE424,3.6,7.5,woman,33,black
EE427,5,7.5,man,35,asian
EE432,3.9,5.8,woman,42.3,white
EE433,5.9,7.8,man,35.4,black
EE435,3.4,6.6,woman,36.2,asian
EE436,5.3,7,woman,35.5,black
EE439,4.1,7.6,woman,34,black
EE441,6.1,8.6,woman,27.8,black
EE445,2.7,9.3,woman,29.8,black
EE446,2.9,6.8,man,35.6,white
EE448,3.3,5.6,man,44.6,asian
