EmployeeID,OrgTenureYrs_2019,JobLevel,Sex,RaceEthnicity,AgeYrs_2019,Veteran
1001,4.8,2,Female,Asian,49.8,No
1002,0.4,1,Male,Asian,25.4,No
1003,3.5,1,Male,HispanicLatino,23.5,No
1004,2.8,1,Female,White,40.8,No
1005,2.7,1,Female,HispanicLatino,28.7,No
1006,1.5,2,Male,HispanicLatino,50.5,No
1007,2.6,1,Female,HispanicLatino,23.2,Yes
1008,5.3,3,Male,Asian,61.3,No
1009,3.2,1,Male,White,40.2,No
1010,2.6,1,Female,Black,39.6,No
1011,4.6,2,Female,White,47.6,No
1012,2.5,1,Female,White,21.5,No
1013,0.8,1,Male,HispanicLatino,18.9,No
1014,2.5,1,Female,HispanicLatino,26.5,No
1015,4.5,2,Female,White,40.5,No
1016,5.1,1,Male,HispanicLatino,45.1,No
1017,4.5,1,Female,Asian,37.5,No
1018,0.5,1,Female,White,38.5,No
1019,3.1,1,Male,HispanicLatino,30.1,No
1020,5.1,2,Male,White,26.1,No
1021,2.5,1,Female,Asian,34.5,Yes
1022,4.4,1,Female,White,47.4,No
1023,2.4,3,Female,White,42.4,No
1024,NA,1,Male,HispanicLatino,NA,No
1025,2.4,1,Female,White,21.4,No
1026,2.4,1,Female,Asian,45.4,No
1027,5.0,5,Male,White,48.0,No
1028,4.4,1,Female,Asian,43.4,No
1029,0.9,1,Male,White,31.9,No
1030,4.9,2,Male,Asian,44.9,No
1031,2.9,1,Male,HispanicLatino,34.9,No
1032,2.4,1,Female,HispanicLatino,26.4,No
1033,4.4,2,Female,White,36.4,No
1034,2.8,5,Male,HispanicLatino,39.8,No
1035,4.8,3,Male,Asian,37.8,No
1036,0.8,1,Male,White,33.8,Yes
1037,4.8,2,Male,White,34.8,No
1038,2.8,2,Male,Asian,24.8,No
1039,4.8,5,Male,HispanicLatino,42.8,No
1040,2.7,1,Male,White,25.7,Yes
1041,4.4,2,Female,White,45.4,No
1042,4.6,3,Male,White,46.6,No
1043,4.4,2,Female,HispanicLatino,55.4,No
1044,2.3,3,Female,White,38.3,No
1045,0.6,1,Male,HispanicLatino,29.6,No
1046,0.6,1,Male,HispanicLatino,21.6,No
1047,4.6,3,Male,Asian,49.6,No
1048,2.6,1,Male,HispanicLatino,22.6,No
1049,4.4,2,Male,Asian,36.4,No
1050,4.4,5,Male,Asian,44.4,No
1051,2.3,2,Female,Asian,31.3,No
1052,4.2,2,Female,White,39.2,No
1053,2.4,2,Male,Asian,46.4,No
1054,2.4,1,Male,Asian,43.4,No
1055,4.2,2,Female,White,49.2,No
1056,2.2,1,Female,White,34.2,No
1057,4.1,2,Female,Asian,42.1,No
1058,2.1,1,Female,White,26.1,No
1059,4.4,2,Male,HispanicLatino,42.4,No
1060,0.1,1,Female,White,44.1,No
1061,2.1,1,Female,Asian,32.1,Yes
1062,4.0,2,Female,White,46.0,No
1063,4.4,3,Male,Asian,47.4,No
1064,2.4,1,Male,Asian,53.4,Yes
1065,2.3,2,Male,Black,37.3,No
1066,4.0,2,Female,White,44.0,No
1067,1.8,1,Female,HispanicLatino,22.8,No
1068,3.8,2,Female,White,46.8,No
1069,1.8,1,Female,HispanicLatino,42.8,No
1070,4.3,2,Male,HispanicLatino,47.3,Yes
1071,1.8,1,Female,White,38.8,No
1072,4.2,3,Male,HispanicLatino,39.2,No
1073,4.2,2,Male,Asian,42.2,No
1074,0.8,1,Female,Asian,25.8,No
1075,0.7,1,Female,Asian,26.7,No
1076,4.2,2,Male,White,52.2,Yes
1077,4.2,3,Male,Asian,37.2,No
1078,2.9,2,Male,Asian,43.9,No
1079,11.5,5,Male,White,51.5,No
1080,2.1,5,Male,Asian,33.1,No
1081,2.1,1,Male,HispanicLatino,22.8,No
1082,1.9,2,Male,Asian,43.9,No
1083,9.0,5,Female,White,45.0,No
1084,4.0,5,Male,Asian,42.0,No
1085,3.6,2,Female,HispanicLatino,51.6,No
1086,3.6,2,Female,White,49.6,No
1087,1.5,1,Female,Asian,38.5,No
