EmployeeID,Unit,Supervisor,JobSat1,JobSat2,JobSat3,TurnInt1,TurnInt2,TurnInt3,Engage1,Engage2,Engage3,Engage4,Engage5,ExpIncivil1,ExpIncivil2,ExpIncivil3,ExpIncivil4,ExpIncivil5
EID294,Marketing,EID373,3,3,3,3,3,3,2,1,2,2,3,2,2,3,2,2
EID295,Marketing,EID373,2,3,2,3,4,2,2,1,3,3,3,2,2,2,2,1
EID296,Marketing,EID373,2,2,3,3,3,3,1,1,2,1,2,2,1,2,2,2
EID301,Marketing,EID367,2,2,3,4,4,4,3,2,3,2,2,3,3,3,4,3
EID306,Marketing,EID367,2,2,2,4,4,4,3,2,3,4,3,2,3,3,3,3
EID213,HumanResources,EID370,4,3,4,3,3,3,3,2,4,3,3,2,3,3,3,3
EID217,HumanResources,EID370,3,3,2,3,2,2,3,2,3,3,4,2,2,3,3,2
EID254,Manufacturing,EID371,4,4,4,2,2,2,3,2,3,3,2,1,2,2,2,2
EID260,Manufacturing,EID371,3,4,4,2,2,2,3,2,2,1,2,2,2,1,2,2
EID315,ResearchDevelopment,EID372,3,2,3,2,2,2,2,2,3,4,2,2,2,2,2,2
EID317,ResearchDevelopment,EID372,3,3,5,3,4,3,3,2,3,4,4,2,2,4,2,3
EID344,Sales,EID372,3,3,2,3,3,3,3,2,3,4,2,2,2,3,4,3
EID357,Sales,EID372,4,4,3,3,3,3,3,2,3,4,3,2,2,3,3,3
EID358,Sales,EID372,2,3,3,2,2,2,3,2,3,3,3,2,3,3,3,2
EID252,Manufacturing,EID375,4,4,3,3,3,3,3,2,3,3,3,2,2,2,3,3
EID354,Sales,EID377,3,3,3,3,3,3,3,2,3,4,2,3,2,3,3,3
EID237,Manufacturing,EID380,1,2,2,4,3,3,2,2,2,2,1,2,3,3,3,4
EID286,Manufacturing,EID380,3,3,3,4,4,3,3,2,2,3,3,3,2,4,3,3
EID288,Manufacturing,EID380,2,2,2,3,3,3,2,2,2,2,3,2,2,2,3,3
EID305,Marketing,EID367,3,3,5,3,2,2,5,3,3,3,3,2,2,2,2,2
EID310,Marketing,EID367,3,3,3,4,3,4,3,3,2,3,3,2,3,2,2,2
EID226,Manufacturing,EID368,2,2,3,4,3,4,3,3,4,4,4,2,2,2,2,3
EID232,Manufacturing,EID368,2,3,2,4,4,4,3,3,3,3,3,3,2,3,3,3
EID275,Manufacturing,EID368,4,4,4,2,2,3,3,3,3,3,5,2,2,3,3,3
EID276,Manufacturing,EID368,3,4,2,3,3,3,2,3,3,3,2,3,3,2,2,3
EID277,Manufacturing,EID368,4,4,4,4,3,4,4,3,4,4,4,2,3,3,2,2
EID291,Manufacturing,EID368,4,4,4,2,1,1,3,3,3,2,3,2,2,1,2,1
EID292,Manufacturing,EID368,3,3,4,4,3,4,3,3,3,3,4,3,3,3,3,3
EID293,Manufacturing,EID368,3,3,4,3,3,2,3,3,3,4,4,3,3,3,4,3
EID215,HumanResources,EID370,3,3,2,2,2,3,4,3,3,3,3,3,2,2,2,3
EID218,HumanResources,EID370,4,3,4,3,2,2,3,3,2,4,3,2,2,2,3,2
EID219,HumanResources,EID370,4,3,4,2,2,2,3,3,4,4,4,2,2,3,2,2
EID220,HumanResources,EID370,3,3,4,3,3,3,4,3,4,4,3,2,2,2,2,2
EID221,HumanResources,EID370,3,3,3,4,4,3,4,3,3,3,4,2,2,2,2,3
EID225,Manufacturing,EID371,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3
EID236,Manufacturing,EID371,3,4,2,1,1,2,4,3,2,4,3,2,2,2,2,2
EID253,Manufacturing,EID371,4,4,4,2,3,3,4,3,4,3,3,3,2,3,3,2
EID319,ResearchDevelopment,EID372,5,5,4,3,2,3,3,3,4,4,4,3,2,2,3,3
EID320,ResearchDevelopment,EID372,3,2,3,3,3,3,4,3,4,4,3,3,3,3,3,2
EID322,ResearchDevelopment,EID372,3,2,3,3,3,2,4,3,4,4,4,1,2,2,3,1
EID324,ResearchDevelopment,EID372,4,4,5,3,3,3,4,3,3,4,3,1,1,1,1,2
EID328,ResearchDevelopment,EID372,3,3,3,3,3,3,3,3,4,4,4,2,2,2,2,3
EID330,ResearchDevelopment,EID372,1,3,4,2,3,3,4,3,3,4,2,3,3,3,2,2
EID331,Sales,EID372,2,3,2,3,3,3,4,3,3,4,4,2,3,2,3,2
EID339,Sales,EID372,2,2,3,4,3,3,2,3,2,2,1,2,2,3,2,2
EID340,Sales,EID372,3,3,2,2,2,2,3,3,3,3,4,1,2,2,2,2
EID341,Sales,EID372,3,4,3,3,3,3,4,3,3,2,4,3,3,3,2,2
EID349,Sales,EID372,3,4,4,4,3,2,3,3,3,3,3,3,2,2,3,2
EID352,Sales,EID372,3,3,3,3,2,3,5,3,4,4,3,2,2,2,2,2
