emp_id,job_title,pay_grade,status,base_pay,job_tenure,pay_grade_tenure,org_tenure,age,educ,perf,sex,race,data_retrieval_date
ee20097,technician 1,e07,nonexempt,51179,4.7,11.0,13.4,44.8,1,9.4,female,asian,2019-04-01
ee20032,technician 1,e07,nonexempt,46039,2,2.0,2.0,32.6,3,9.6,female,black,2019-04-01
ee20050,technician 1,e07,nonexempt,50414,3.2,3.2,3.2,38.5,1,9.6,female,asian,2019-04-01
ee20019,technician 2,e07,nonexempt,56442,4.5,6.6,10.9,31.5,4,10,female,black,2019-04-01
ee20026,technician 2,e07,nonexempt,57211,8.1,9.0,10.1,34.7,4,3.4,female,white,2019-04-01
ee20034,technician 2,e07,nonexempt,53129,7,7.8,7.8,36.4,2,8.6,female,asian,2019-04-01
ee20089,technician 1,e07,nonexempt,46826,3.8,3.8,3.8,36.4,5,8.7,female,white,2019-04-01
ee20020,technician 2,e07,nonexempt,53705,5,9.5,9.5,39.6,3,6.8,female,asian,2019-04-01
ee20036,technician 2,e07,nonexempt,55382,3.3,3.3,3.3,47.8,5,3.8,male,asian,2019-04-01
ee20022,technician 2,e07,nonexempt,58551,5.7,7.0,7.0,45.7,1,6.1,female,white,2019-04-01
ee200121,technician 1,e07,nonexempt,50823,4.2,4.6,4.6,29.7,4,5.8,female,black,2019-04-01
ee20030,technician 3,e07,nonexempt,59767,2.3,10.0,10.0,37,1,7.2,male,white,2019-04-01
ee20057,technician 1,e07,nonexempt,52726,7,9.8,9.8,47.3,4,7.6,female,black,2019-04-01
ee200117,technician 1,e07,nonexempt,51462,7.8,8.5,11.6,38.7,4,6.2,female,black,2019-04-01
ee20066,technician 1,e07,nonexempt,49228,0.9,1.8,1.8,31.5,2,8.6,female,black,2019-04-01
ee20078,technician 3,e07,nonexempt,61627,6.4,10.3,13.5,38.9,3,10,male,black,2019-04-01
ee20045,technician 2,e07,nonexempt,54347,7.5,16.6,16.6,40.1,4,6.6,female,black,2019-04-01
ee20074,technician 1,e07,nonexempt,52078,3.8,3.8,3.8,38.2,2,9.5,female,black,2019-04-01
ee20079,technician 3,e07,nonexempt,59031,7.2,14.4,14.4,43.5,3,10,male,black,2019-04-01
ee20085,technician 3,e07,nonexempt,60688,4.2,6.0,11.3,41,4,9.5,male,asian,2019-04-01
ee200115,technician 1,e07,nonexempt,45978,2.4,2.4,2.4,36.4,3,9.1,female,asian,2019-04-01
ee20068,technician 1,e07,nonexempt,52167,5.8,7.2,7.2,43.6,3,7.4,female,black,2019-04-01
ee2001,technician 1,e07,nonexempt,52016,6.9,6.9,6.9,45.7,1,8,female,black,2019-04-01
ee20059,technician 1,e07,nonexempt,49496,5.1,5.4,5.4,34.4,1,5.6,female,asian,2019-04-01
ee20082,technician 3,e07,nonexempt,61932,10,12.2,13.8,45.9,3,9.2,male,white,2019-04-01
