SurveyID,Unit,Week,OpenEnded
SS1200012,Data Center,1,"except her brother and his wife, who had never seen him, and who were"
SS1200013,Data Center,1,little Frank soon after her decease. Some scruples and some reluctance
SS1200014,Data Center,1,"a well-judging and truly amiable woman could be, and must give him the"
SS1200015,Data Center,1,"mother on the occasion. For a few days, every morning visit in Highbury"
SS1200016,Data Center,1,Her situation was altogether the subject of hours of gratitude to Mrs.
SS1200017,Data Center,1,every visitor of the newly married pair; but still the cake was eaten;
SS1200062,Data Center,2,"full of pride and importance, which the connexion would offend."
SS1200063,Data Center,2,the widower-father may be supposed to have felt; but as they were
SS1200064,Data Center,2,pleasantest proof of its being a great deal better to choose than to be
SS1200065,Data Center,2,included some mention of the handsome letter Mrs. Weston had received.
SS1200066,Data Center,2,"Weston, and of moments only of regret; and her satisfaction--her more"
SS1200067,Data Center,2,and there was no rest for his benevolent nerves till it was all gone.
SS1200111,Data Center,3,"Miss Churchill, however, being of age, and with the full command of her"
SS1200112,Data Center,3,"overcome by other considerations, the child was given up to the care and"
SS1200113,Data Center,3,"chosen, to excite gratitude than to feel it."
SS1200114,Data Center,3,"""I suppose you have heard of the handsome letter Mr. Frank Churchill"
SS1200115,Data Center,3,"than satisfaction--her cheerful enjoyment, was so just and so apparent,"
SS1200116,Data Center,3,There was a strange rumour in Highbury of all the little Perrys being
SS1200160,Data Center,4,fortune--though her fortune bore no proportion to the family-estate--was
SS1200161,Data Center,4,"the wealth of the Churchills, and he had only his own comfort to seek,"
SS1200162,Data Center,4,He had only himself to please in his choice: his fortune was his own;
SS1200163,Data Center,4,"has written to Mrs. Weston? I understand it was a very handsome letter,"
SS1200164,Data Center,4,"that Emma, well as she knew her father, was sometimes taken by surprize"
SS1200165,Data Center,4,seen with a slice of Mrs. Weston's wedding-cake in their hands: but Mr.
SS1200209,Data Center,5,"not to be dissuaded from the marriage, and it took place, to the"
SS1200210,Data Center,5,and his own situation to improve as he could.
SS1200211,Data Center,5,"for as to Frank, it was more than being tacitly brought up as his"
SS1200212,Data Center,5,"indeed. Mr. Woodhouse told me of it. Mr. Woodhouse saw the letter, and"
SS1200213,Data Center,5,"at his being still able to pity 'poor Miss Taylor,' when they left her"
SS1200214,Data Center,5,Woodhouse would never believe it.
SS1200258,Data Center,6,"infinite mortification of Mr. and Mrs. Churchill, who threw her off with"
SS1200259,Data Center,6,A complete change of life became desirable. He quitted the militia and
SS1200260,Data Center,6,"uncle's heir, it had become so avowed an adoption as to have him assume"
SS1200261,Data Center,6,"he says he never saw such a handsome letter in his life."""
SS1200262,Data Center,6,"at Randalls in the centre of every domestic comfort, or saw her go away"
SS1200307,Data Center,7,"due decorum. It was an unsuitable connexion, and did not produce much"
SS1200308,Data Center,7,"engaged in trade, having brothers already established in a good way in"
SS1200309,Data Center,7,"the name of Churchill on coming of age. It was most unlikely, therefore,"
SS1200310,Data Center,7,"It was, indeed, a highly prized letter. Mrs. Weston had, of course,"
SS1200311,Data Center,7,in the evening attended by her pleasant husband to a carriage of her
SS1200356,Data Center,8,"happiness. Mrs. Weston ought to have found more in it, for she had a"
SS1200357,Data Center,8,"London, which afforded him a favourable opening. It was a concern which"
SS1200358,Data Center,8,that he should ever want his father's assistance. His father had no
SS1200359,Data Center,8,formed a very favourable idea of the young man; and such a pleasing
SS1200360,Data Center,8,"own. But never did she go without Mr. Woodhouse's giving a gentle sigh,"
SS1200405,Data Center,9,husband whose warm heart and sweet temper made him think every thing due
SS1200406,Data Center,9,"brought just employment enough. He had still a small house in Highbury,"
SS1200407,Data Center,9,"apprehension of it. The aunt was a capricious woman, and governed her"
SS1200408,Data Center,9,"attention was an irresistible proof of his great good sense, and a most"
SS1200409,Data Center,9,"and saying, ""Ah, poor Miss Taylor! She would be very glad to stay."""
SS1200454,Data Center,10,to her in return for the great goodness of being in love with him;
SS1200455,Data Center,10,where most of his leisure days were spent; and between useful occupation
SS1200456,Data Center,10,husband entirely; but it was not in Mr. Weston's nature to imagine that
SS1200457,Data Center,10,welcome addition to every source and every expression of congratulation
SS1200458,Data Center,10,There was no recovering Miss Taylor--nor much likelihood of ceasing to
SS1200503,Data Center,11,"but though she had one sort of spirit, she had not the best. She had"
SS1200504,Data Center,11,"and the pleasures of society, the next eighteen or twenty years of his"
SS1200505,Data Center,11,"any caprice could be strong enough to affect one so dear, and, as he"
SS1200506,Data Center,11,which her marriage had already secured. She felt herself a most
SS1200507,Data Center,11,pity her; but a few weeks brought some alleviation to Mr. Woodhouse.
SS1200552,Data Center,12,"resolution enough to pursue her own will in spite of her brother,"
SS1200553,Data Center,12,"life passed cheerfully away. He had, by that time, realised an easy"
SS1200554,Data Center,12,"believed, so deservedly dear. He saw his son every year in London, and"
SS1200555,Data Center,12,fortunate woman; and she had lived long enough to know how fortunate
SS1200556,Data Center,12,The compliments of his neighbours were over; he was no longer teased by
SS1200601,Data Center,13,but not enough to refrain from unreasonable regrets at that brother's
SS1200602,Data Center,13,competence--enough to secure the purchase of a little estate adjoining
SS1200603,Data Center,13,was proud of him; and his fond report of him as a very fine young man
SS1200604,Data Center,13,"she might well be thought, where the only regret was for a partial"
SS1200605,Data Center,13,"being wished joy of so sorrowful an event; and the wedding-cake, which"
SS1200650,Data Center,14,"unreasonable anger, nor from missing the luxuries of her former home."
SS1200651,Data Center,14,"Highbury, which he had always longed for--enough to marry a woman as"
