EmployeeID,Conscientiousness,Interview,Performance
1,3.333333333,3.5,2.35
2,3.833333333,3.61,1.54
3,3.333333333,3.42,3.99
4,4,4.48,3.78
5,3.666666667,4.82,3.77
6,4,3.54,3.51
7,3.166666667,3.87,3.65
8,2.333333333,3.54,1.55
9,2.833333333,4.08,2.51
10,4.833333333,5,3.63
11,2,2.85,2.8
12,4.333333333,3.4,2.91
13,3.333333333,4.33,3.12
14,4,3.68,3.01
15,4,5,2.62
16,2.666666667,3.3,2.13
17,3.833333333,3.57,2.53
18,3.333333333,4.33,2.89
19,3,3.88,3.43
20,4,4,3.22
21,3.666666667,3.19,2.58
22,4.166666667,4.39,4.19
23,4.833333333,3.54,3.98
24,3,3.43,3.29
25,3.833333333,3.95,3.1
26,2.666666667,3.27,1.65
27,3.5,3.04,2.5
28,3,3.78,1
29,3,3.44,2.51
30,2.666666667,2.92,2.06
31,2.5,3.01,2.1
32,3.5,3.51,2.22
33,3.166666667,3.36,3.1
34,3,3.21,4.56
35,3.166666667,2.54,2.81
36,5,4.95,3.42
37,3.333333333,3.48,2.07
38,4.666666667,4.05,3.79
39,2,1.92,1
40,2.833333333,2.61,2.52
41,3.666666667,3.92,4.02
42,3.833333333,4.7,3.32
43,2.333333333,3.12,1
44,2.833333333,3.93,3.16
45,3.166666667,3.44,3.53
46,3.5,4.42,3.08
47,2.666666667,3.65,2.16
48,3.166666667,3.58,1
49,2.166666667,1.67,2.18
50,4.5,3.93,4.16
51,3.166666667,2.86,2.41
52,3.5,4.07,3.24
53,3.833333333,4.59,3.73
54,3.166666667,3.71,1
55,3,3.21,4.45
56,3.666666667,3.97,2.01
57,4,3.42,4.18
58,4.5,3.34,2.82
59,4,3.24,3.51
60,3.166666667,4.52,4.54
61,2.5,3.45,2.38
62,3,3.11,3.3
63,2.833333333,3.91,3.09
64,5,5,5
65,2.333333333,3.15,1.8
66,3.833333333,2.38,2.79
67,2.666666667,3.88,1.64
68,3,2.69,2.36
69,2.333333333,2.57,2.95
70,3.5,4.66,3.67
71,3.833333333,4.07,2.82
72,4,4.14,4.38
73,4,3.07,2.06
74,3.5,3.98,2.98
75,3.333333333,2.31,3.65
76,3.5,3.99,3.13
77,2.666666667,2.54,2.16
78,3.666666667,4.27,3.8
79,4.333333333,4.48,3.07
80,3.666666667,3.75,3.66
81,2.833333333,3.69,2.2
82,3.333333333,3.44,3
83,3.166666667,3.65,2.15
84,2.833333333,3.4,2.41
85,4.333333333,3.95,3.53
86,3,3.88,3.11
87,3.333333333,4.17,2.81
88,4,3.05,2.74
89,3.333333333,3.86,4.4
90,2.333333333,3.77,1.96
91,3.333333333,3.53,3.8
92,4,3.53,5
93,4.166666667,3,3.05
94,3.833333333,3.19,2.79
95,4.333333333,5,4.8
96,4.333333333,4.24,3.41
97,3.333333333,3.73,2.97
98,2.833333333,3.53,3.56
99,2.5,4.06,1
100,3.166666667,4,2.6
101,3.333333333,3.07,2.38
102,4.833333333,3.71,3.23
103,3.666666667,3.29,3.3
104,4,3.3,2.89
105,3.333333333,4.77,3.54
106,2.166666667,3.62,1
107,5,3.93,3.22
108,4.666666667,4.4,4.71
109,3.5,4.75,3.19
110,3.833333333,3.69,1
111,3.5,3.98,1.96
112,4,4.05,4.53
113,3.666666667,3.6,3.05
114,4.166666667,4.47,3.95
115,3.666666667,3.46,3.33
116,4.333333333,3.91,1.88
117,4,2.89,4.32
118,4.166666667,3.12,2.82
119,4,3.29,3.52
120,2.833333333,1.66,2.55
121,3,4.46,3.77
122,4,3.21,2.82
123,4.333333333,3.76,4.71
124,3.833333333,2.46,2.52
125,2.5,3.62,3.1
126,2.333333333,3.48,3.39
127,2.5,3.28,1
128,3.5,4.78,3.92
129,3,3.31,2.29
130,4.833333333,2.77,2.2
131,3.5,3.56,2.99
132,2.833333333,3.54,1
133,3.5,4.06,1.71
134,1.666666667,3.78,3.35
135,3.166666667,1.62,1
136,4.166666667,3.8,3.78
137,4.166666667,4.14,4.29
138,2.666666667,3.77,3.6
139,3.333333333,4.25,2.86
140,3,2.72,2.27
141,3.333333333,4.29,3.55
142,3,3.21,1
143,4.166666667,5,5
144,1.666666667,2.94,1.88
145,3,2.7,3.24
146,3.666666667,3.1,3.04
147,4.333333333,3.64,3.18
148,3.166666667,3.44,1.84
149,3.166666667,3.53,4.17
150,3.333333333,4.86,2.6
151,4.5,3.37,4.71
152,4.166666667,3.26,2.41
153,3.666666667,4.13,2.76
154,2.833333333,3.84,2.73
155,2.833333333,3.7,3.62
156,4,3.28,3.68
157,2.5,2.85,3.35
158,4,5,3.9
159,3.833333333,4.44,2.79
160,4.666666667,3.9,4.38
161,4.666666667,4.02,1.82
162,4.833333333,4.01,4.56
163,3.666666667,4.45,2.74
