consc,los
1.07,472
1.31,170
1.38,108
1.59,332
1.85,150
1.85,375
1.94,390
2.28,481
2.36,290
2.42,141
2.61,229
2.68,394
2.74,281
2.96,433
2.96,209
3.09,563
3.27,443
3.85,146
3.93,292
3.94,211
3.96,343
4.1,333
4.19,304
4.3,138
4.3,302
4.37,58
4.4,422
4.66,411
4.73,268
4.9,491
4.92,343
4.97,342
5.1,693
5.17,1104
5.41,255
5.58,454
5.83,330
5.95,413
6.02,163
6.06,114
6.18,350
6.24,331
6.27,90
6.27,412
6.37,858
6.45,68
6.46,133
6.47,560
6.48,104
6.56,2023
6.63,65
6.72,1205
6.74,674
7.02,123
7.16,962
7.17,255
7.29,465
7.39,1830
7.4,1414
7.41,913
7.49,1077
7.51,357
7.53,176
7.79,807
8.05,379
8.07,436
8.08,160
8.27,231
8.3,715
8.32,762
8.45,313
8.67,187
8.69,1018
8.87,598
9.27,1139
9.27,1743
9.32,1651
9.54,1268
9.59,1490
