EmpID,Condition,PostTest
1,No,74
2,No,65
3,No,62
4,No,68
5,No,70
6,No,61
7,No,79
8,No,67
9,No,79
10,No,59
11,No,53
12,No,65
13,No,64
14,No,53
15,No,56
16,No,60
17,No,59
18,No,60
19,No,70
20,No,51
21,No,54
22,No,60
23,No,62
24,No,61
25,No,47
26,New,66
27,New,74
28,New,62
29,New,84
30,New,78
31,New,73
32,New,60
33,New,61
34,New,71
35,New,83
36,New,73
37,New,73
38,New,69
39,New,66
40,New,76
41,New,82
42,New,61
43,New,83
44,New,77
45,New,73
46,New,71
47,New,75
48,New,69
49,New,74
50,New,75
51,Old,79
52,Old,74
53,Old,71
54,Old,70
55,Old,70
56,Old,81
57,Old,51
58,Old,66
59,Old,75
60,Old,83
61,Old,67
62,Old,70
63,Old,66
64,Old,54
65,Old,65
66,Old,79
67,Old,63
68,Old,72
69,Old,64
70,Old,61
71,Old,65
72,Old,71
73,Old,56
74,Old,78
75,Old,89
