ID,Turnover,JS,OC,TI,NAff
EMP559,1,4.96,5.32,0.51,1.87
EMP561,1,1.72,1.47,4.08,2.48
EMP571,1,1.64,0.87,2.65,2.84
EMP589,1,3.01,2.15,4.17,2.43
EMP592,1,3.04,1.94,3.27,2.76
EMP601,1,3.81,3.81,3.01,3.67
EMP607,0,1.38,0.83,3.18,2.3
EMP609,1,3.92,3.88,1.7,2.8
EMP610,1,2.35,3.03,2.44,2.71
EMP614,1,1.69,2.82,2.58,2.07
EMP617,1,3.62,1.08,3.53,2.74
EMP619,0,1.72,3.88,1.78,2.11
EMP634,0,1.96,3.02,3.41,
EMP636,0,4.14,2.69,4.33,3.07
EMP641,1,2.03,2.83,3.47,1.84
EMP642,0,3.95,3.7,1.36,2.87
EMP649,1,2.46,1.6,2.65,2.42
EMP643,1,3.35,2.94,3.6,2.08
EMP644,1,2.33,0.8,3.22,2.45
EMP647,0,2.98,2.16,2.41,2.32
EMP677,0,4.64,2.92,1.48,2.43
EMP679,1,3.27,3.19,,1.73
EMP687,0,4.1,3.67,1.89,1.95
EMP688,1,0.23,1.12,4.2,2.38
EMP689,1,2.94,2.05,3.01,2.98
EMP693,1,2.73,3.63,3.36,3.64
EMP698,0,4.15,4.59,1.82,1.52
EMP699,1,3.37,0.49,4.16,1.65
EMP706,0,4.11,3.69,2.53,1.93
EMP707,0,2.96,3.97,1.5,2.2
EMP711,0,1.77,0.72,1.16,2.24
EMP717,0,3.15,1.27,3.48,2.84
EMP721,1,4.88,5.17,1.81,1.76
EMP729,1,2.67,4.22,2.68,1.95
EMP730,1,3.19,4.31,2.59,2.63
EMP732,0,3.26,1.78,1.69,2.21
EMP742,1,3.15,3.61,3.33,2.22
EMP743,1,1.96,2.78,2.93,2.71
EMP746,1,4.43,4.57,2.42,2.41
EMP748,0,3.83,4.08,2.66,1.51
EMP750,1,2.38,2.5,3.44,2.72
EMP764,0,3.9,0.69,2.7,2.53
EMP769,1,3.05,2.77,3.08,1.93
EMP770,1,1.43,4.49,2.99,2.44
EMP773,0,4.59,5.65,1.58,1.95
EMP776,0,3.32,3.26,2.25,1.99
EMP786,0,4.57,3.76,4.27,2.01
EMP787,1,1.05,3.18,2.9,2.04
EMP789,1,1.84,0.27,2.24,2.68
EMP790,0,3.79,5.37,1.83,1.45
EMP803,1,2.79,1.19,3.14,2.35
EMP824,1,,3.91,3.15,2.76
EMP826,0,4.63,4.1,2.01,2.45
EMP828,1,3.49,3.95,3.45,2.59
EMP833,1,3.97,4.2,2.93,2.09
EMP835,0,3.44,3.28,3.37,2.35
EMP837,1,3.87,3.67,3.05,1.72
EMP834,1,5.43,4.36,2.43,3.01
EMP836,1,3.27,5.88,2.65,2.72
EMP840,0,3.25,3.75,2.55,2.31
EMP845,0,2.52,3.96,2.13,1.3
EMP8457,1,1.92,3.62,2.85,3.15
EMP849,1,4.65,2.4,4.16,2.16
EMP854,1,4.26,1.51,2.1,1.73
EMP860,1,2.62,2.32,2.6,3.08
EMP861,1,1.19,1.5,2.95,2.03
EMP862,0,2.65,2.92,3.27,1.94
EMP865,1,2.28,2.72,3.65,2.51
EMP873,1,6,6,2.37,1.45
EMP876,0,5.48,4.23,2.78,2.27
EMP877,0,3.23,1.2,2.18,2.84
EMP880,1,2.08,4.58,4.55,1.62
EMP881,1,5.48,3.19,2.92,2.81
EMP883,0,2.56,4.16,3.15,2.02
EMP885,0,2.57,4.83,2.79,2.11
EMP886,0,3.5,2.85,1.37,3.28
EMP887,1,4.46,1.68,1.8,2.81
EMP891,1,3.22,2.87,2.23,2.81
EMP898,1,3.01,4.49,3.01,1.53
EMP900,0,5.04,2.74,2.92,1.22
EMP904,1,2.93,2.19,2.94,2.34
EMP905,0,3.34,4.26,2.96,1.27
EMP917,0,4.41,4.06,2.41,2.02
EMP927,1,4.66,2.67,3.66,1.91
EMP934,1,1.76,3.1,2.5,2.37
EMP935,1,3.63,3.68,2.65,3.29
EMP951,1,3.42,4.45,2.57,2.23
EMP953,1,0.67,1.84,3.08,2.56
EMP958,0,4.07,5.68,1.21,2.21
EMP963,1,2,2.98,3.55,2.27
EMP964,1,3.21,1.57,2.4,3.11
EMP965,1,3.33,4.59,3.08,2.99
EMP970,0,3.45,4.22,,2.71
EMP980,0,4.03,3.73,1.42,2.41
EMP984,1,2.48,0,4.74,3.18
EMP989,0,2.82,4.39,4.25,2.05
EMP992,0,5.59,3.88,1.62,1.6
EMP997,1,3.69,1.97,3.11,2.21
EMP999,0,4.06,,0.65,2.19
