Applicant_ID,CogAb_i1,CogAb_i2,CogAb_i3,CogAb_i4,CogAb_i5,KnowTest_i1,KnowTest_i2,KnowTest_i3
AA1,0,0,1,0,0,0,0,1
AA2,1,1,1,1,0,1,1,1
AA3,1,1,0,0,0,1,0,1
AA4,1,0,0,1,0,0,0,0
AA5,1,0,1,0,1,1,1,0
AA6,1,1,1,0,0,0,1,1
AA7,0,0,0,0,0,0,1,1
AA8,1,1,0,1,0,0,0,1
AA9,0,1,1,0,0,1,1,1
AA10,1,1,1,1,1,1,1,1
AA11,1,0,0,0,0,1,0,1
AA12,1,0,1,0,0,1,0,0
AA13,1,1,1,0,1,1,1,1
AA14,1,1,0,0,0,0,0,0
AA15,1,0,1,0,0,0,1,1
AA16,1,1,0,0,1,1,0,1
AA17,1,1,0,1,0,1,1,1
AA18,1,1,0,0,1,1,0,1
AA19,1,0,0,0,0,1,0,1
AA20,0,1,0,1,0,1,1,0
