y,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36
-0.886,-0.57,-0.669,-0.978,-0.948,-1.703,-0.623,0.176,-1.624,-1.189,-0.519,-0.495,0.008,0.269,0.017,-0.32,-0.849,-4.325,-2.405,-0.195,0.634,-0.853,-1.537,-0.675,-1.077,-0.851,-1.578,-1.997,-0.641,-1.223,-0.615,-0.751,-0.464,-1.749,-0.841,-0.933,-1.296
0.763,1.763,1.077,1.094,2.427,1.011,2.574,1.32,2.917,1.997,0.882,1.155,2.895,1.996,3.665,0.885,1.132,6.257,6.338,0.236,0.356,1.685,1.771,0.715,0.007,1.382,0.172,2.617,3.905,1.874,1.862,1.291,3.085,0.424,-0.189,0.448,1.706
0.209,-0.016,0.264,-1.302,-0.493,-0.049,-0.61,-0.565,-1.626,-0.95,0.676,0.531,0.434,0.499,1.998,-0.776,-0.404,1.658,1.684,0.011,0.422,0.557,-0.882,0.623,-0.223,-0.1,1.537,-2.109,-0.914,0.792,0.64,0.147,0.558,0.584,0.58,-1.856,0.707
1.746,1.476,0.153,1.804,-1,-0.768,0.008,-0.083,0.478,0.204,1.182,0.687,1.195,-0.523,-2.024,4.072,0.658,1.109,6.423,0.036,1.693,-0.498,-0.316,-0.885,0.315,0.384,1.268,1.639,0.357,0.509,0.483,-1.321,0.917,1.264,2.599,-0.091,0.454
0.22,-1.288,-1.091,0.226,0.713,1.731,-1.21,1.125,-1.053,0.622,0.234,0.596,-0.004,-1.714,0.754,-0.335,-0.154,-2.203,0.379,0.082,0.593,1.248,-0.028,0.246,1.728,-0.212,0.616,2.144,0.266,1.008,1.469,0.268,0.762,1.445,2.538,2.658,1.118
-0.458,-0.619,-1.822,-1.348,-0.036,-3.787,-2.025,-0.072,-1.263,-0.999,-1.121,-2.608,-1.849,-2.163,0.311,-5.685,-0.409,-0.999,-3.667,-0.419,-0.516,-1.09,-0.493,-0.106,-2.004,0.371,0.561,-0.411,-2.154,0.332,-0.683,0.592,-1.762,-1.748,2.331,-1.404,-2.973
-1.007,-1.1,-1.091,-0.388,-1.928,-0.208,-1.049,-1.206,-2.389,-1.741,-0.832,-1.904,-2.33,-4.076,-4.251,-3.272,-0.726,-4.346,-3.502,-0.327,-3.006,-0.319,-1.436,0.315,0.213,-1.681,-0.959,-1.201,-2.614,-1.886,-0.4,0.112,-0.773,-0.513,-1.85,-0.971,-0.77
-0.47,-0.702,0.233,0.247,0.363,0.536,0.487,2.07,-0.098,1.216,0.248,-0.214,-0.925,0.569,-1.675,-1.234,0.486,0.15,-0.382,0.034,-1.192,0.671,-0.629,1.223,0.237,-1.303,2.079,-1.062,-1.434,0.318,-0.676,-1.243,-2.004,0.396,2.807,-0.159,0.733
-0.661,-1.665,-2.182,-2.193,-1.429,-3.221,-2.873,-1.682,-1.459,-2.897,-2.138,-1.503,-0.681,-2.217,-0.751,-4.954,-0.314,-4.401,-7.174,-0.422,-0.905,-3.745,-2.751,0.178,-3.712,-2.947,-0.842,-2.463,-5.172,-2.641,-1.825,-0.686,-1.871,-2.727,-1.803,-2.458,-1.868
-0.646,0.432,2.204,-1.687,0.63,0.717,-0.029,0.883,0.52,1.501,-1.321,0.57,0.337,0.932,-1.344,2.958,0.587,4.288,1.023,-0.164,-1.128,0.979,1.585,-0.411,0.634,0.566,-1.361,1.265,0,-0.422,1.521,-0.263,0.883,0.959,-0.018,1.26,0.463
