SurveyID,JobSat1,JobSat2,JobSat3,TurnInt1,TurnInt2,TurnInt3,Engage1,Engage2,Engage3,Engage4
1,3,3,3,3,3,3,2,1,2,2
2,4,4,4,3,3,2,4,4,4,4
3,4,4,5,2,1,2,4,4,4,4
4,2,3,3,4,4,4,4,4,4,4
5,3,3,3,4,3,3,3,3,3,3
6,3,3,3,3,2,2,4,4,5,3
7,2,2,3,4,3,4,3,3,4,4
8,2,3,2,3,3,3,4,3,3,4
9,4,4,4,3,2,3,4,4,4,5
10,2,,4,4,4,3,4,3,3,3
11,3,3,4,3,3,3,3,3,3,2
12,3,3,4,2,2,3,3,4,4,3
13,4,4,4,4,3,3,4,4,4,4
14,2,2,2,3,3,3,3,3,3,2
15,3,4,3,3,3,2,4,5,3,4
16,3,3,4,3,3,3,4,5,4,5
17,3,3,4,2,2,3,4,3,4,3
18,2,3,2,3,4,2,2,1,3,3
19,2,3,2,,,,3,3,3,3
20,3,4,4,2,3,3,4,4,3,3
21,4,3,4,4,3,3,4,5,4,4
22,3,3,3,3,3,3,4,3,3,4
23,2,2,3,3,3,3,1,1,2,1
24,3,,2,1,1,2,4,3,2,4
25,4,3,4,3,3,2,4,4,4,5
26,4,3,4,3,3,2,4,3,4,4
27,1,2,2,4,3,3,2,2,2,2
28,3,4,5,3,3,3,5,3,3,5
29,3,2,3,2,2,2,2,2,3,4
30,2,3,2,3,3,3,3,4,4,4
31,4,4,5,2,2,2,4,4,5,5
32,3,4,3,2,2,2,4,4,5,4
33,3,3,4,2,2,3,4,3,4,4
34,2,2,2,4,3,4,4,4,3,3
35,3,3,4,2,3,3,4,4,3,4
36,2,2,3,4,3,3,2,3,2,2
37,4,4,4,3,2,2,5,4,4,5
38,4,4,3,3,3,2,5,5,5,4
39,3,3,2,2,2,2,3,3,3,3
40,4,4,3,3,3,4,4,3,4,4
41,3,4,3,3,3,3,4,3,3,2
42,3,3,5,4,3,4,3,3,3,3
43,3,3,5,3,4,3,3,2,3,4
44,4,4,4,3,2,2,4,4,4,4
45,4,4,2,3,3,3,4,4,4,4
46,3,4,5,4,3,2,4,4,4,4
47,3,3,4,3,3,3,3,4,3,3
48,4,4,4,2,2,2,4,4,4,5
49,4,4,4,3,3,2,4,3,4,3
50,3,3,3,,,,4,4,4,4
51,3,2,2,4,4,4,3,3,3,2
52,4,5,4,1,1,1,4,5,4,5
53,3,3,3,3,3,3,3,3,3,3
54,2,3,3,3,3,3,2,3,3,3
55,3,3,2,3,3,3,3,2,3,4
56,3,4,4,3,3,3,4,4,3,4
57,3,3,3,2,2,3,5,4,4,4
58,3,2,3,3,3,4,4,4,3,4
59,3,,4,4,4,3,5,4,3,4
60,4,4,3,3,3,3,3,2,3,3
61,4,4,4,2,3,3,4,3,4,3
62,4,4,4,3,3,2,5,5,5,5
63,4,4,4,2,2,2,3,2,3,3
64,3,4,3,2,2,2,5,5,5,5
65,4,3,4,4,3,4,3,4,4,4
66,3,4,3,3,4,3,4,4,3,5
67,3,4,3,3,3,2,5,4,2,4
68,4,4,3,3,3,3,3,4,4,5
69,2,2,2,3,3,3,4,4,5,4
70,3,4,4,4,3,2,3,3,3,3
71,5,5,4,3,2,3,3,3,4,4
72,3,3,3,3,3,3,3,4,3,4
73,5,5,4,2,2,2,4,4,4,4
74,3,2,3,3,3,3,4,3,4,4
75,4,3,4,3,3,3,3,2,4,3
76,3,3,4,3,3,2,4,4,3,4
77,3,3,5,2,3,2,4,3,3,4
78,3,4,4,2,2,2,3,2,2,1
79,4,3,3,3,4,4,4,4,4,4
80,4,3,3,3,3,4,3,4,4,4
81,3,3,3,3,3,4,4,3,4,4
82,4,3,4,5,4,3,3,3,4,3
83,3,2,3,3,3,2,4,3,4,4
84,4,4,5,3,2,2,4,4,3,3
85,2,1,2,3,3,3,4,4,3,4
86,3,2,3,4,5,4,4,3,2,3
87,2,2,3,4,3,4,3,4,3,3
88,3,3,3,3,2,3,5,3,4,4
89,3,3,3,3,2,2,5,4,4,4
90,3,3,3,3,3,3,3,2,3,4
91,2,2,3,4,4,4,3,2,3,2
92,1,1,2,4,3,3,3,3,3,3
93,3,3,5,2,2,2,4,4,4,4
94,4,4,3,3,4,3,4,3,4,5
95,4,4,5,1,2,2,4,4,5,4
96,2,3,3,4,3,4,4,4,3,4
97,3,3,3,3,3,3,4,4,3,3
98,4,4,4,2,3,3,4,4,4,4
99,4,4,5,3,3,3,4,3,3,4
100,3,3,4,3,3,2,4,3,3,3
101,3,3,5,3,2,2,5,3,3,3
102,3,3,2,2,2,3,2,3,2,3
103,3,3,2,2,2,3,4,3,3,3
104,2,4,2,5,4,4,3,3,3,2
105,2,2,3,4,4,4,4,4,4,5
106,2,2,2,4,4,4,3,2,3,4
107,4,4,3,3,3,3,4,3,4,4
108,4,4,4,2,2,3,3,3,3,3
109,3,4,2,3,3,3,2,3,3,3
110,2,3,3,3,2,3,4,4,5,4
111,3,3,2,3,2,2,3,2,3,3
112,3,4,5,3,3,3,3,4,4,3
113,3,3,4,3,3,3,3,3,4,3
114,4,4,4,2,2,1,4,4,3,4
115,4,4,4,4,3,4,4,3,4,4
116,4,3,4,3,2,2,3,3,2,4
117,3,3,3,4,4,4,5,4,4,5
118,2,3,4,3,4,3,3,3,3,4
119,3,3,4,3,2,3,4,3,4,3
120,4,4,3,3,3,3,3,2,3,4
121,2,2,3,3,3,3,4,4,4,3
122,2,2,3,4,4,4,3,3,3,3
123,5,4,3,2,2,3,4,4,4,4
124,5,4,5,3,3,3,4,4,3,5
125,4,3,4,2,2,2,3,3,4,4
126,4,3,5,2,2,2,5,5,5,5
127,3,4,4,3,3,3,5,5,4,5
128,3,4,5,3,2,2,4,4,3,4
129,2,3,3,4,4,3,4,3,3,4
130,3,3,4,3,3,3,4,3,4,4
131,3,3,3,3,3,3,3,3,4,4
132,2,2,2,4,3,3,3,3,2,2
133,2,3,3,2,2,2,3,2,3,3
134,4,4,4,2,2,3,4,4,4,4
135,3,4,4,3,3,3,5,4,4,5
136,3,3,3,4,4,3,3,2,2,3
137,3,4,4,3,2,2,4,4,4,4
138,3,3,3,4,4,3,4,3,3,3
139,2,2,3,2,2,2,3,3,4,3
140,3,3,3,4,4,3,4,3,3,3
141,3,3,3,4,3,4,3,3,2,3
142,2,2,2,3,3,3,2,2,2,2
143,3,3,3,4,4,4,3,4,4,3
144,3,3,3,2,2,2,3,3,3,4
145,3,3,4,4,3,4,3,4,3,4
146,3,3,3,3,3,2,3,4,4,4
147,1,3,4,2,3,3,4,3,3,4
148,4,5,3,2,2,2,4,3,4,4
149,3,,3,4,3,3,3,3,2,3
150,5,5,4,2,3,3,5,5,4,5
151,4,4,4,2,1,1,3,3,3,2
152,3,3,4,4,3,4,3,3,3,3
153,3,3,3,3,2,3,4,4,3,4
154,3,3,4,3,3,2,3,3,3,4
155,4,5,4,2,2,2,4,4,4,5
156,2,3,4,3,3,2,4,3,3,4
